,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
134,a15477,redacted,redacted,redacted,t3187,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-01,2021-01-01,1789.0,,"Romance,  Liebesgeschichte",P12,3.0,2.0,,redacted
135,a4389,redacted,redacted,redacted,t24598,Bücher,Rick Riordan / Percy Jackson,17.0,2021-01-03,2021-01-03,27633.0,,"Abenteuer,  Fantasy",P12,0.0,1.0,,redacted
136,a10159,redacted,redacted,redacted,t25030,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-06,2021-01-06,8987.0,,"Romance,  Angst",P16 Slash,10.0,4.0,,redacted
137,a7829,redacted,redacted,redacted,t5201,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-16,2021-01-16,449.0,,Romance,P12 Slash,3.0,2.0,,redacted
138,a9422,redacted,redacted,redacted,t18803,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-20,2021-01-20,138.0,,Humor,P6,0.0,2.0,,redacted
139,a10908,redacted,redacted,redacted,t39053,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-24,2021-01-24,6782.0,,"Freundschaft,  Schmerz/ Trost",P12,3.0,1.0,,redacted
140,a4389,redacted,redacted,redacted,t39416,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-25,2021-01-25,4121.0,,Allgemein,P6,0.0,1.0,,redacted
141,a16038,redacted,redacted,redacted,t13443,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-25,2021-01-25,6064.0,,"Schmerz/ Trost,  Liebesgeschichte",P12 Slash,5.0,1.0,,redacted
142,a7087,redacted,redacted,redacted,t34490,Bücher,Rick Riordan / Percy Jackson,4.0,2021-01-25,2021-01-27,2594.0,,"Familie,  Fantasy",P12,1.0,2.0,,redacted
143,a7829,redacted,redacted,redacted,t11983,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-28,2021-01-28,2555.0,,"Romance,  Schmerz/ Trost",P12,4.0,2.0,,redacted
144,a7087,redacted,redacted,redacted,t9337,Bücher,Rick Riordan / Percy Jackson,4.0,2021-01-24,2021-01-29,3036.0,,Interview/ Quiz Allgemein,P12,3.0,1.0,,redacted
145,a5810,redacted,redacted,redacted,t17349,Bücher,Rick Riordan / Percy Jackson,2.0,2021-01-30,2021-01-30,533.0,,"Mystery,  Freundschaft",P12,0.0,3.0,,redacted
146,a542,redacted,redacted,redacted,t16475,Bücher,Rick Riordan / Percy Jackson,5.0,2021-01-09,2021-02-01,7340.0,,"Romance,  Erotik",P18,6.0,5.0,,redacted
147,a10765,redacted,redacted,redacted,t18108,Bücher,Rick Riordan / Percy Jackson,1.0,2021-02-06,2021-02-06,1387.0,,"Humor,  Freundschaft",P12,0.0,1.0,,redacted
148,a9525,redacted,redacted,redacted,t1395,Bücher,Rick Riordan / Percy Jackson,1.0,2021-02-06,2021-02-06,239.0,,Drama,P12,0.0,0.0,,redacted
149,a15413,redacted,redacted,redacted,t24386,Bücher,Rick Riordan / Percy Jackson,4.0,2020-10-22,2021-02-09,6646.0,,"Freundschaft,  Liebesgeschichte",P12,10.0,15.0,,redacted
150,a5810,redacted,redacted,redacted,t37830,Bücher,Rick Riordan / Percy Jackson,5.0,2021-02-02,2021-02-10,1417.0,,"Mystery,  Fantasy",P12,3.0,10.0,,redacted
151,a11712,redacted,redacted,redacted,t35068,Bücher,Rick Riordan / Percy Jackson,1.0,2020-12-10,2020-12-10,5822.0,,"Humor,  Romance",P12,4.0,3.0,,redacted
