,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
519,a2585,redacted,redacted,redacted,t14978,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-09-20,2020-09-20,203.0,,Humor,P12,0.0,1.0,,redacted
520,a7747,redacted,redacted,redacted,t20944,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-09-24,2020-09-24,5477.0,,"Angst,  Familie",P12,5.0,4.0,,redacted
521,a1267,redacted,redacted,redacted,t17937,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-09-27,2020-09-27,3240.0,,Freundschaft,P12,1.0,3.0,,redacted
522,a9745,redacted,redacted,redacted,t16331,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,4.0,2020-09-13,2020-10-11,3588.0,,Abenteuer,P12,1.0,4.0,,redacted
523,a2585,redacted,redacted,redacted,t214,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-15,2020-08-15,126.0,,Humor,P12,0.0,1.0,,redacted
524,a11,redacted,redacted,redacted,t10359,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-16,2020-08-16,1423.0,,Familie,P12,2.0,1.0,,redacted
525,a9395,redacted,redacted,redacted,t25964,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-18,2020-08-18,4442.0,,"Drama,  Romanze",P12,2.0,1.0,,redacted
526,a1193,redacted,redacted,redacted,t5464,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-18,2020-08-18,647.0,,"Familie,  Schmerz/ Trost",P12,2.0,2.0,,redacted
527,a1267,redacted,redacted,redacted,t37703,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-28,2020-08-28,2306.0,,"Familie,  Schmerz/ Trost",P16,3.0,1.0,,redacted
528,a11,redacted,redacted,redacted,t11160,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-29,2020-08-29,339.0,,Allgemein,P12,1.0,0.0,,redacted
529,a10548,redacted,redacted,redacted,t21220,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-29,2020-08-29,12263.0,,Romanze,P12,2.0,2.0,,redacted
530,a10548,redacted,redacted,redacted,t39465,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,2.0,2020-08-29,2020-08-29,43099.0,,Romanze,P12,0.0,0.0,,redacted
531,a9395,redacted,redacted,redacted,t36787,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-30,2020-08-30,1804.0,,Humor,P12,1.0,4.0,,redacted
